Pergunta;Resposta esperada;GPT 4o;GPT 4o (s);DeepSeek R1;DeepSeek R1 (s);LLama 4 Scout;LLama 4 Scout (s);Gemini 2.0 Flash;Gemini 2.0 Flash (s);Gemma 3n;Gemma 3n (s);Phy 4;Phy 4 (s);Qwen3-235b;Qwen3-235b (s)
O que é a compensação de falta?;A compensação de falta é a realização de atividade para compensar uma falta a aula.;A compensação de falta é um mecanismo que permite ao aluno que teve ausências em aulas presenciais realizar atividades propostas pelo professor para compensar essas faltas, podendo ser compensadas até 35% da carga horária total da disciplina, desde que o aluno atenda aos critérios estabelecidos pela resolução.;2,81;A compensação de falta é uma atividade proposta pelo professor, a seu critério e por solicitação do aluno, para compensar faltas em aulas presenciais.;12,97;"É uma possibilidade do aluno compensar suas faltas através de atividades propostas pelo professor, tendo o aluno direito a compensar suas faltas em determinadas situações, como:  se  o aluno  teve  nota  final  igual  ou  acima  de  8,0;  se  o  aluno  se  enquadra  nos  itens  1  ou  3  do  artigo  2  da  resolução  e  se  o  aluno  está  em  situação  de  luto  de  familiares  próximos.";2,81;"Art. 19 – Terá direito à compensação de faltas o aluno que se encaixar nos itens 1 ou 3 do artigo 2 o dessa resolução, quando o período de afastamento for menor que o previsto no artigo 4o dessa resolução.

Art. 20 – Terá direito à compensação de faltas o aluno que tiver situação de luto de familiares próximos
";2,67;O professor, a seu critério, e por solicitação do aluno, poderá propor atividades de compensação de faltas para alunos que tenham faltado aulas presenciais. O aluno poderá, através desse mecanismo, ter compensadas suas faltas de 25% a 35% da carga horária total da disciplina. Alunos com faltas acima de 25% e em até 50% das aulas presenciais dadas, terão as faltas compensadas quando tiverem a nota final da disciplina igual ou acima de 8,0 (oito).;7,46;A compensação de falta é um mecanismo que permite a alguns alunos terem suas faltas em aulas presenciais compensadas. Isso pode ocorrer para alunos que atendem a critérios específicos, como estar em situação de luto de familiares próximos, ou que tenham sido afastados por períodos menores do que os previstos. Essa compensação só é permitida se a nota final da disciplina for igual ou acima de 8,0 e pode ser negociada diretamente com o professor. O aluno deve apresentar comprovante de direito à compensação de falta em até quinze dias após o término do evento e o professor, a seu critério, pode propor atividades para esse fim. Alunos com faltas entre 25% e 50% também podem ter suas faltas compensadas sob certas condições. Em caso de divergência, a decisão final sobre o direito à compensação cabe à Diretoria de Graduação e Educação Profissional no campus.;5,99;A compensação de falta é um mecanismo pelo qual o aluno pode ter suas faltas às aulas presenciais abonadas mediante a realização de atividades específicas propostas pelo professor ou comprovação de situações previstas em regulamento, como afastamento por luto ou outros motivos justificados. Esse processo permite a reposição de um percentual de faltas dentro do limite estabelecido, condicionado, em alguns casos, à obtenção de nota final mínima na disciplina.;3,36
Posso reingressar no curso?;"O estudante que for desligado do curso com fundamento nos incisos VII à XII do Art. 57,
poderá protocolar requerimento de reingresso no semestre letivo em que ocorreu o desligamento, devidamente justificado e acompanhado de documentação que comprove os mo";Sim, você pode reingressar no curso, desde que protocole um requerimento devidamente justificado e acompanhado da documentação que comprove os motivos apresentados. Se o requerimento for deferido, você será reintegrado no período letivo seguinte.;1,9;Sim, é possível reingressar no curso mediante requerimento justificado e acompanhado de documentação comprobatória. O pedido será analisado pela Coordenação do Curso e homologado pela Diretoria de Graduação e Educação Profissional (DIRGRAD). Se deferido, o aluno será reintegrado no período letivo seguinte. Estudantes que faltam apenas estágio, TCC ou atividades complementares podem ter reingresso imediato no período corrente.;12,72;Sim, é possível reingressar no curso, desde que você protocole um requerimento de reingresso devidamente justificado e acompanhado de documentação comprobatória, e que seja deferido pela Coordenação de Curso e homologado pela Diretoria de Graduação e Educação Profissional. Além disso, se você estiver em situação de provável formando, com apenas estágio curricular obrigatório, trabalho de conclusão de curso e atividades complementares pendentes, o reingresso pode ser concedido no período letivo corrente.;2,88;Sim, poderá protocolar requerimento de reingresso, devidamente justificado e acompanhado de documentação que comprove os motivos apresentados. Caso o requerimento seja deferido, o aluno será reintegrado ao curso no período letivo seguinte.;2,18;Sim, o aluno poderá protocolar requerimento de reingresso, devidamente justificado e acompanhado de documentação que comprove os motivos apresentados. Caso o requerimento seja deferido, o aluno será reintegrado ao curso no período letivo seguinte.;2,35;Você poderá protocolar um requerimento de reingresso, devidamente justificado e acompanhado de documentação que comprove os motivos apresentados. Se atender a critérios como não estar em pendência com algum setor da instituição e responder a um processo administrativo, pode haver possibilidade de reingresso. Além disso, se estiver em situação de provável formando faltando apenas algumas unidades curriculares, poderá ser concedido reingresso no período letivo corrente.;3,47;Sim, você pode reingressar no curso mediante protocolo de requerimento devidamente justificado e acompanhado de documentação que comprove os motivos apresentados. O requerimento será analisado pela Coordenação do Curso e homologado pela Diretoria de Graduação e Educação Profissional. Se deferido, você será reintegrado ao curso no período letivo seguinte.;3,36
Quando eu posso ser desligado do curso?;"O desligamento do estudante do curso poderá ocorrer:
I - por transferência para outra instituição de ensino;
II - por expressa manifestação de vontade do estudante;
III - por ato administrativo decorrente de motivos disciplinares;
IV - por detecção de mat";"Você pode ser desligado do curso nas seguintes situações: 

I - por transferência para outra instituição de ensino;  
II - por expressa manifestação de vontade do estudante;  
III - por ato administrativo decorrente de motivos disciplinares;  
IV - por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior;  
V - por ato administrativo decorrente de processo de jubilamento;  
VI - por não atendimento do estabelecido em processos de seleção da UTFPR;  
VII - se for ultrapassado o prazo de 4 semestres letivos de trancamento para os cursos semestrais e 2 anos para os cursos anuais em andamento.";3,34;"Você pode ser desligado do curso nas seguintes situações:  
1. Por ultrapassar o prazo de trancamento de matrícula (4 semestres para cursos semestrais ou 2 anos para cursos anuais);  
2. Por motivos disciplinares;  
3. Por processo de jubilamento;  
4. Por transferência para outra instituição;  
5. Por manifestação voluntária de vontade;  
6. Por matrícula simultânea em outro curso de graduação em instituição pública de ensino superior;  
7. Por não atendimento aos processos de seleção da UTFPR.";14,93;"Você pode ser desligado do curso nas seguintes situações: 

- Por transferência para outra instituição de ensino;
- Por expressa manifestação de vontade;
- Por ato administrativo decorrente de motivos disciplinares;
- Por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior;
- Por ato administrativo decorrente de processo de jubilamento;
- Por não atendimento do estabelecido em processos de seleção;
- Se for ultrapassado o prazo de 4 semestres letivos de trancamento de matrícula, para os cursos semestrais, e 2 anos para os cursos anuais em andamento.";4,23;"O desligamento do estudante do curso poderá ocorrer:
I - por transferência para outra instituição de ensino;
II - por expressa manifestação de vontade do estudante;
III - por ato administrativo decorrente de motivos disciplinares;
IV - por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior, com base na Lei Federal 12.089, de 11 de novembro de 2009;
V - por ato administrativo decorrente de processo de jubilamento;
VI - por não atendimento do estabelecido em processos de seleção da UTFPR;
VII. se for ultrapassado o prazo de 4 (quatro) semestres letivos de trancamento de matrícula, para os cursos semestrais, e 2 (dois) anos para os cursos anuais em andamento.
";3;"
por transferência para outra instituição de ensino;
por expressa manifestação de vontade do estudante;
por ato administrativo decorrente de motivos disciplinares;
por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior, com base na Lei Federal 12.089, de 11 de novembro de 2009;
por ato administrativo decorrente de processo de jubilamento;
por não atendimento do estabelecido em processos de seleção da UTFPR;
se for ultrapassado o prazo de 4 (quatro) semestres letivos de trancamento de matrícula, para os cursos semestrais, e 2 ( dois) anos para os cursos anuais em andamento.";13,28;"Você pode ser desligado do curso nos seguintes casos:

1. Se for ultrapassado o prazo de 4 (quatro) semestres letivos de trancamento de matrícula, para os cursos semestrais, e 2 (dois) anos para os cursos anuais em andamento.
2. Por ato administrativo decorrente de motivos disciplinares.
3. Por ato administrativo decorrente de processo de jubilamento.
4. Por transferência para outra instituição de ensino.
5. Por expressa manifestação de vontade do estudante.
6. Por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior, com base na Lei Federal 12.089, de 11 de novembro de 2009.
7. Por não atendimento do estabelecido em processos de seleção da UTFPR.";6,38;"Você pode ser desligado do curso nas seguintes situações:  
I. por transferência para outra instituição de ensino;  
II. por expressa manifestação de vontade do estudante;  
III. por ato administrativo decorrente de motivos disciplinares;  
IV. por detecção de matrícula em curso de graduação em outra instituição pública de ensino superior, com base na Lei Federal 12.089, de 11 de novembro de 2009;  
V. por ato administrativo decorrente de processo de jubilamento;  
VI. por não atendimento do estabelecido em processos de seleção da UTFPR.";5,34
O que é o exame de suficiência?;É uma prova contendo todo o conteúdo da disciplina e é indicado a estudantes que já possuem experiência com o conteúdo da disciplina.  O exame de suficiência não se aplica: ao estágio curricular obrigatório, ao trabalho de conclusão de curso, às atividade;O exame de suficiência é uma avaliação que o aluno pode requerer para disciplinas ou unidades curriculares que julgar possuir conhecimentos, devendo comprovar seu conhecimento através de documentação específica, previamente analisada pela Coordenação de Curso. O exame será aplicado por uma banca examinadora designada e será aprovado o aluno que obtiver nota igual ou superior a 6,0.;2,75;O exame de suficiência é uma avaliação que o aluno pode requerer para disciplinas ou unidades curriculares nas quais julga já possuir conhecimentos suficientes, permitindo a possível dispensa da disciplina mediante aprovação.;4,42;Exame de suficiência é uma avaliação para disciplinas/unidades curriculares que o aluno julgar possuir conhecimentos, devendo comprovar seu conhecimento através de documentação específica. Será aplicado por banca examinadora designada pela Coordenação de Curso, e será aprovado o aluno que obtiver nota igual ou superior a 6,0.;2,34;"O aluno poderá requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos, no prazo estabelecido em Calendário Acadêmico.
";7,32;"
O aluno poderá requerer exame de suficiência para disciplinas/unidades curriculares que julgar possuir conhecimentos, no prazo estabelecido em Calendário Acadêmico.";6,22;O exame de suficiência é um procedimento pelo qual um aluno pode comprovar o conhecimento em disciplinas ou unidades curriculares que julga possuir, dentro do prazo estabelecido no Calendário Acadêmico. O aluno deve comprovar seu conhecimento através de documentação específica a ser analisada pela Coordenação de Curso. O exame de suficiência é aplicado por uma banca examinadora designada pela Coordenação de Curso, e o aluno é aprovado se obter nota igual ou superior a 6,0 (seis). Este exame não se aplica ao Estágio Curricular Obrigatório, ao Trabalho de Conclusão de Curso e às Atividades Complementares.;5,75;O exame de suficiência é uma avaliação que o aluno pode requerer para disciplinas/unidades curriculares nas quais julga possuir conhecimentos, com o objetivo de ser dispensado da realização da disciplina mediante aprovação prévia. O exame é aplicado por uma banca examinadora e o aluno será aprovado com nota igual ou superior a 6,0 (seis).;16,03
Posso pedir revisão de prova?;É assegurado ao estudante o direito à revisão das avaliações escritas, ou registradas eletronicamente, por meio de requerimento, protocolado junto ao DERAC em 5 (cinco) dias úteis após a divulgação do resultado da respectiva avaliação, conforme critério d;Sim, você pode pedir a revisão de prova, protocolando um requerimento junto ao DERAC em até 5 dias úteis após a divulgação do resultado da avaliação.;1,6;Sim, você pode pedir revisão de prova. O requerimento deve ser protocolado junto ao DERAC em 5 (cinco) dias úteis após a divulgação do resultado da avaliação.;9,77;Sim, você pode pedir revisão de prova. O estudante tem direito à revisão das avaliações escritas ou registradas eletronicamente, por meio de requerimento protocolado junto ao DERAC em 5 (cinco) dias úteis após a divulgação do resultado da respectiva avaliação.;2,13;"Sim, é assegurado ao estudante o direito à revisão das avaliações escritas, ou registradas eletronicamente, por meio de requerimento, protocolado junto ao DERAC em 5 (cinco) dias úteis após a divulgação do resultado da respectiva avaliação, conforme critério descrito no caput do Art. 36.
";2,37;Sim, é assegurado ao estudante o direito à revisão das avaliações escritas, ou registradas eletronicamente, por meio de requerimento protocolado no DERAC em 5 (cinco) dias úteis após a divulgação do resultado da avaliação.;2,28;É assegurado ao estudante o direito à revisão das avaliações escritas ou registradas eletronicamente, por meio de requerimento protocolado junto ao DERAC em 5 (cinco) dias úteis após a divulgação do resultado da respectiva avaliação.;1,96;Sim, você pode pedir revisão de prova. Para isso, deve protocolar um requerimento junto ao DERAC em até 5 (cinco) dias úteis após a divulgação do resultado da avaliação. A revisão será realizada por uma banca designada pela coordenação do curso.;5,07
Quantas vezes posso pedir o exame de suficiência?;O estudante poderá requerer somente um exame de suficiência por unidade curricular.;Você pode requerer somente um exame de suficiência por disciplina.;1,73;Somente uma vez por disciplina.;18,97;Somente uma vez por disciplina.;1,61;"O aluno poderá requerer somente um exame de suficiência por disciplina/unidade curricular.
";2,65;Somente uma vez por disciplina/unidade curricular.;2;O aluno poderá requerer somente um exame de suficiência por disciplina.;1,95;Você pode pedir o exame de suficiência somente uma vez por disciplina ou unidade curricular.;3,15
Perdi prova por motivo de doença, o que devo fazer?;No caso de o estudante perder alguma avaliação presencial, por motivo de doença ou força maior, poderá requerer a segunda chamada, uma única vez por avaliação, no período letivo.  O requerimento, com documentação comprobatória, deverá ser protocolado junt;Você deve anexar ao requerimento um laudo ou atestado médico original, constando o período de afastamento necessário, a descrição do motivo que impediu a frequência, e a assinatura do médico com o número de registro no conselho profissional.;2,07;Deve apresentar um atestado médico original ao requerimento, contendo: o período de afastamento necessário (com datas de início e término), a descrição do motivo que impede a frequência às aulas, local e data de expedição do documento, e a assinatura do médico com o número de registro no conselho profissional.;12,65;Deverá ser anexado ao requerimento o laudo ou atestado médico original, constando o período de afastamento necessário, data de início e término, descrição do motivo que impede de frequentar as aulas, local e data de expedição do documento e a assinatura do médico com o número do registro no conselho profissional. Caberá à Diretoria de Graduação e Educação Profissional - DIRGRAD do campus onde você está matriculado a decisão final.;1,95;Deverá ser anexado ao requerimento o laudo ou o atestado médico original, constando, no mínimo: o período de afastamento necessário de acompanhamento e/ou tratamento da condição de saúde diagnosticada, com a data de início e a data de término, a descrição do motivo que impede o estudante de frequentar as aulas, local e data de expedição do documento e a assinatura do Médico com o número do registro no conselho pro?ssional.;2,51;Deverá ser anexado ao requerimento o laudo ou o atestado médico original, constando, no mínimo: o período de afastamento necessário de acompanhamento e/ou tratamento da condição de saúde diagnosticada, com a data de início e a data de término, a descrição do motivo que impede o estudante de frequentar as aulas, local e data de expedição do documento e a assinatura do Médico com o número do registro no conselho profissional.;2,96;Deve ser anexado ao requerimento o laudo ou o atestado médico original, constando o período de afastamento necessário de acompanhamento e/ou tratamento da condição de saúde diagnosticada, com a data de início e a data de término, a descrição do motivo que impede o estudante de frequentar as aulas, local e data de expedição do documento e a assinatura do Médico com o número do registro no conselho profissional.;5,06;Você deve apresentar um requerimento com o laudo ou atestado médico original, contendo o período de afastamento necessário, com data de início e término, a descrição do motivo que impede a frequência às aulas, local e data de expedição do documento, bem como a assinatura do médico com o número do registro no conselho profissional.;5,42
Qual o critério para ser aprovado em uma disciplina?;"Considerar-se-á aprovado nas unidades curriculares presenciais e semipresenciais, o estudante que obtiver uma das seguintes condições:
I - Frequência/participação igual ou superior a 75% (setenta e cinco por cento) das aulas presenciais dadas e Nota Final";Para ser aprovado em uma disciplina, o aluno deve ter frequência igual ou superior a 75% e Nota Final igual ou superior a 6,0, considerando todas as avaliações previstas no Plano de Ensino.;1,74;Para ser aprovado em uma disciplina, o aluno deve ter frequência igual ou superior a 75% e Nota Final igual ou superior a 6,0, considerando todas as avaliações previstas no Plano de Ensino.;10,06;Ter frequência igual ou superior a 75% e Nota Final igual ou superior a 6,0.;2,2;"O aluno deve ter frequência igual ou superior a 75% e Nota Final igual ou superior a 6,0, consideradas todas as avaliações previstas no Plano de Ensino.
";2,12;O aluno deverá ter frequência igual ou superior a 75% (setenta e cinco por cento) e Nota Final igual ou superior a 6,0 (seis), consideradas todas as avaliações previstas no Plano de Ensino.;2,13;Para ser aprovado em uma disciplina, o aluno deve ter frequência igual ou superior a 75% (setenta e cinco por cento) e Nota Final igual ou superior a 6,0 (seis), consideradas todas as avaliações previstas no Plano de Ensino.;4,09;Para ser aprovado em uma disciplina, o aluno deve ter frequência igual ou superior a 75% e Nota Final igual ou superior a 6,0, consideradas todas as avaliações previstas no Plano de Ensino.;3,74
Quantas disciplinas de enriquecimento curricular eu posso me matricular?;O estudante poderá se matricular em até 3 (três) unidades curriculares como enriquecimento curricular por período letivo, desde que respeitado o § 2º do Art. 21 do RODP.;Você pode se matricular em até 3 (três) disciplinas de enriquecimento curricular por período letivo.;1,69;Você pode se matricular em até 3 (três) disciplinas de enriquecimento curricular por período letivo.;9,18;Até 3 (três) unidades curriculares como enriquecimento curricular por período letivo.;2,84;"O estudante poderá se matricular em até 3 (três) unidades curriculares como enriquecimento curricular por período letivo, desde que respeitado o § 2º do Art. 21.
";2,41;Até 3 (três) unidades curriculares como enriquecimento curricular por período letivo.;1,95;O estudante poderá se matricular em até 3 (três) unidades curriculares como enriquecimento curricular por período letivo.;2,48;Você pode se matricular em até 3 (três) disciplinas de enriquecimento curricular por período letivo.;2,83
O que são disciplinas de enriquecimento curricular?;Uma unidade curricular é considerada como enriquecimento curricular quando não pertence à matriz curricular do curso do estudante e não possui unidade curricular equivalente nesta matriz.;Disciplinas de enriquecimento curricular são aquelas que não pertencem ao currículo do curso do aluno e não possuem disciplina equivalente neste currículo.;1,65;Disciplinas de enriquecimento curricular são aquelas que não pertencem ao currículo do curso do aluno e não possuem disciplina equivalente neste currículo.;9,77;Uma disciplina/unidade curricular é considerada como enriquecimento curricular quando não pertence ao currículo do curso do aluno e não possui disciplina equivalente neste currículo.;2,1;"Uma disciplina/unidade curricular é considerada como enriquecimento curricular quando não pertence ao currículo do curso do aluno e não possui disciplina equivalente neste currículo.
";2,12;Uma disciplina/unidade curricular é considerada como enriquecimento curricular quando não pertence ao currículo do curso do aluno e não possui disciplina equivalente neste currículo.;2,29;Uma disciplina/unidade curricular é considerada como de enriquecimento curricular quando não pertence ao currículo do curso do aluno e não possui disciplina equivalente neste currículo.;2,55;Disciplinas de enriquecimento curricular são aquelas que não pertencem ao currículo do curso do aluno e não possuem disciplina equivalente neste currículo.;2,36
Posso me matricular em disciplinas que ocorre no mesmo dia e horário?;O estudante não poderá matricular-se em unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;Não, o aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;1,66;Não, você não pode se matricular em disciplinas que ocorrem no mesmo dia e horário.;9,06;Não, o aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;1,72;"O aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.
";2,37;O aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;8,51;O aluno não poderá se matricular em disciplinas/ unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;2,94;Não, o aluno não poderá matricular-se em disciplinas/unidades curriculares cujos horários das turmas ofertadas sejam sobrepostos.;3,17
O que são turmas sem presença obrigatória?;São turmas em que os estudantes não precisam frequentar as aulas, apenas aos dias de avaliações.;Turmas sem presença obrigatória são aquelas destinadas a alunos que foram reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%. Essas turmas podem ter todas as suas vagas reservadas para esses alunos, que deverão fazer todas as avaliações presenciais previstas.;5,44;Turmas sem presença obrigatória são destinadas a alunos reprovados em uma disciplina com Nota Final igual ou superior a 4,0 e frequência mínima de 75%. Essas turmas são definidas pelo Colegiado de Curso. Os alunos matriculados devem realizar todas as avaliações presenciais previstas, conforme datas e horários divulgados. Em caso de sobreposição de avaliações, o aluno tem direito à segunda chamada. Essas turmas podem ser ofertadas exclusivamente para esse perfil de aluno, desde que seja ofertada uma turma presencial no mesmo dia e horário, e possuem um Planejamento de Aulas específico com avaliações presenciais.;21,06;São turmas destinadas a alunos que foram reprovados com nota final igual ou superior a 4,0 e frequência mínima de 75%, e que deverão fazer todas as avaliações presenciais previstas para a turma.;2,17;"Entende-se por alunos que podem cursar disciplinas/unidades curriculares sem presença obrigatória aqueles que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).
";2,37;São turmas que destinam vagas a alunos reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%.;2,06;Turmas sem presença obrigatória são aquelas em que os alunos podem cursar disciplinas ou unidades curriculares sem a necessidade de comparecer presencialmente às aulas regulares. Eles são geralmente alunos que foram reprovados na disciplina com uma nota final igual ou superior a 4,0 e com frequência mínima de 75%. Esses alunos devem participar de todas as avaliações presenciais previstas, conforme planejado no início do período letivo. Esses arranjos devem ser definidos pelo Colegiado do Curso.;2,68;Turmas sem presença obrigatória são aquelas destinadas a alunos que foram reprovados em uma disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%. Esses alunos não têm obrigatoriedade de presença nas aulas, mas devem realizar todas as avaliações presenciais previstas para a turma em que estão matriculados.;4,86
Quem pode fazer matrícula nas turma sem presença obrigatória?;Estudantes que tenham sido reprovados na unidade curricular com nota final igual ou superior a 4,0 e com frequência mínima de 75%.;Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%.;1,46;Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 e frequência mínima de 75%.;8,19;Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).;1,24;"Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).
";1,88;Alunos que tenham sido reprovados na disciplina com Nota Final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).;2,26;Podem fazer matrícula nas turmas sem presença obrigatória alunos que tenham sido reprovados na disciplina com nota final igual ou superior a 4,0 (quatro) e com frequência mínima de 75% (setenta e cinco por cento).;2,77;Estudantes que foram reprovados na disciplina com Nota Final igual ou superior a 4,0 e com frequência mínima de 75%.;2,63
Qual é quantidade máxima de disciplinas que eu posso me matricular?;A carga horária máxima permitida para o estudante é igual à do período com maior carga horária na matriz curricular, somada a 90 (noventa) horas, não excedendo um máximo de 600 (seiscentas) horas no semestre. As unidades curriculares cursadas na condição ;A quantidade máxima de disciplinas que você pode se matricular é igual à carga horária do período com maior carga horária na matriz curricular, somada a 90 horas, não excedendo um máximo de 600 horas no semestre.;2,2;A carga horária máxima permitida por semestre é igual à do período com maior carga horária na matriz curricular, somada a 90 horas, não excedendo 600 horas.;10,37;A carga horária máxima permitida para o estudante é igual a do período com maior carga horária na matriz curricular, somada a 90 (noventa) horas, não excedendo um máximo de 600 (seiscentas) horas no semestre. Não há menção expressa à quantidade de disciplinas.;2,02;"A carga horária máxima permitida para o estudante é igual a do período com maior carga horária na matriz curricular, somada a 90 (noventa) horas, não excedendo um máximo de 600 (seiscentas) horas no semestre.
";2,4;A carga horária máxima permitida para o estudante é igual a do período com maior carga horária na matriz curricular, somada a 90 (noventa) horas, não excedendo um máximo de 600 (seiscentas) horas no semestre.;2,56;A carga horária máxima permitida para o estudante é igual a do período com maior carga horária na matriz curricular, somada a 90 (noventa) horas, não excedendo um máximo de 600 (seiscentas) horas no semestre.;2,77;A quantidade máxima de disciplinas não está especificada como um número fixo nos documentos, mas o aluno deve respeitar o limite de carga horária máxima permitida. Esse limite é definido como a carga horária do período com maior carga horária na matriz curricular, somada a 90 horas, sem exceder 600 horas no semestre. Portanto, o número de disciplinas dependerá da carga horária de cada disciplina cursada, garantindo que o total não ultrapasse esses limites.;42,46
Como faço para quebrar o pré-requisito de uma disciplina que tenho dependência?;Ficará liberado do pré-requisito para efetivação da matrícula, o estudante que já tenha cursado a unidade curricular pré-requisito e tenha coeficiente de rendimento normalizado igual ou superior a 0,5 (zero vírgula cinco), nota final igual ou superior a 4;Para quebrar o pré-requisito de uma disciplina em que você tem dependência, você precisa ter cursado a disciplina/unidade curricular pré-requisito, obtido uma frequência mínima de 75% e uma Nota Final igual ou superior a 4,0.;2,4;Para ser liberado do pré-requisito de uma disciplina em que você tem dependência, é necessário ter cursado essa disciplina/unidade curricular pré-requisito anteriormente e obtido frequência mínima de 75% e Nota Final igual ou superior a 4,0.;12,92;Para quebrar o pré-requisito de uma disciplina que você tem dependência, você precisa ter cursado a disciplina pré-requisito anteriormente e obtido frequência mínima de 75% e Nota Final igual ou superior a 4,0.;3,33;"Ficará liberado do pré-requisito para efetivação da matrícula, o aluno que já tenha cursado a disciplina/unidade curricular pré-requisito e tenha obtido frequência mínima de 75% (setenta e cinco por cento) e Nota Final igual ou superior a 4,0 (quatro).
";2,43;Ficará liberado do pré-requisito para efetivação da matrícula, o aluno que já tenha cursado a disciplina/unidade curricular pré-requisito e tenha obtido frequência mínima de 75% (setenta e cinco por cento) e Nota Final igual ou superior a 4,0 (quatro).;2,73;Ficará liberado do pré-requisito para efetivação da matrícula, o aluno que já tenha cursado a disciplina/unidade curricular pré-requisito e tenha obtido frequência mínima de 75% (setenta e cinco por cento) e Nota Final igual ou superior a 4,0 (quatro).;1,77;Os alunos que já cursaram a disciplina/unidade curricular pré-requisito e obtiveram **frequência mínima de 75%** e **Nota Final igual ou superior a 4,0** estão liberados do pré-requisito para efetivar a matrícula.;9,08
O que acontece se eu esquecer de fazer a matrícula?;O estudante que não efetuar a matrícula dentro dos prazos estabelecidos será desligado do curso, conforme inciso VIII do Art. 57.;Se o estudante não efetuar sua matrícula no curso, no período estabelecido nas instruções de matrícula, ele pode ser desligado do curso.;1,86;Se você esquecer de fazer a matrícula no período estabelecido nas instruções de matrícula, em qualquer período letivo, isso configura motivo para desligamento do curso.;9,77;Se o estudante não efetuar sua matrícula no curso, no período estabelecido nas instruções de matrícula, em qualquer período letivo, poderá ocorrer o cancelamento da matrícula.;2,19;"Se o estudante não efetuar sua matrícula no curso, no período estabelecido nas instruções de matrícula, em qualquer período letivo, ele terá o ingresso cancelado.
";2,28;se o estudante não efetuar sua matrícula no curso, no período estabelecido nas instruções de matrícula, em qualquer período letivo.;2,58;Se o estudante não efetuar sua matrícula no curso no período estabelecido nas instruções de matrícula, em qualquer período letivo, pode haver cancelamento do ingresso.;2,11;Se você não efetuar sua matrícula no curso no período estabelecido nas instruções de matrícula, em qualquer período letivo, poderá resultar no cancelamento do seu ingresso.;2,35
